Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
S27447600001,08/20/2015,2582,Hy-Vee #2 Food Store / Mason City,551 S ILLINOIS AVE,MASON CITY,50401,POINT (-93.17114 43.14623),17,Cerro Gordo,1031080,VODKA 80 PROOF,434,Luxco-St Louis,36302,Hawkeye Vodka,48,200,1.15,1.73,240,415.20,48.00,12.68
S04612000052,03/19/2012,3529,A To Z Liquor and Smoke Shop,114 S SECOND,CHEROKEE,51012,POINT (-95.55132 42.749013),18,Cherokee,1011200,STRAIGHT BOURBON WHISKIES,65,Jim Beam Brands,19061,Jim Beam Mini,12,500,6.83,10.24,2,20.48,1.00,0.26
S13744900030,08/06/2013,3705,Liquor Locker,507 1ST AVE #100,ROCK RAPIDS,51246,,60,Lyon,1081350,SPEARMINT SCHNAPPS,434,Luxco-St Louis,82187,Arrow Spearmint Schnapps,12,"1,000",4.75,7.13,3,21.39,3.00,0.79
S16098500018,12/04/2013,4599,Quik Trip #500 / Hubbell DM,3700 HUBBELL AVE,DES MOINES,50317,POINT (-93.54490600000001 41.629026),77,Polk,1031200,VODKA FLAVORED,380,Phillips Beverage Company,42002,Uv Cake Vodka,6,500,4.89,7.34,1,7.34,0.50,0.13
S13462800013,07/22/2013,4633,Kwik Shop #520 / Carter Lake,1202 EAST LOCUST ST,CARTER LAKE,51510,,78,Pottawattamie,1032080,IMPORTED VODKA,35,"Bacardi U.S.A., Inc.",34423,Grey Goose Vodka,12,375,8.48,12.72,2,25.44,0.75,0.20
S26586700023,07/06/2015,3631,Audubon Food Pride,104 MARKET ST PO BOX 206,AUDUBON,50025,POINT (-94.93625 41.723057),05,Audubon,1081300,PEPPERMINT SCHNAPPS,434,Luxco-St Louis,81208,Paramount Peppermint Schnapps,6,"1,750",7.08,10.62,6,63.72,10.50,2.77
S05006300152,04/11/2012,2605,Hy-Vee Drugstore #5 / Cedar Rapids,2001 BLAIRS FERRY ROAD NE,CEDAR RAPIDS,52402,POINT (-91.668909 42.034799),57,Linn,1032200,IMPORTED VODKA - MISC,65,Jim Beam Brands,35950,Pinnacle Key Lime Whipped,12,750,7.87,11.81,2,23.62,1.50,0.40
S24559900089,03/17/2015,2565,Hy-Vee Food Store / Spencer,819 N GRAND AVE,SPENCER,51301,POINT (-95.14506 43.145897),21,Clay,1081240,GREEN CREME DE MENTHE,434,Luxco-St Louis,79026,Arrow Creme De Menthe Green,12,750,4.50,6.75,4,27.00,3.00,0.79
S15777700008,11/18/2013,4829,Central City 2,1501 MICHIGAN AVE,DES MOINES,50314,POINT (-93.613739 41.60572),77,Polk,1011200,STRAIGHT BOURBON WHISKIES,55,Sazerac North America,21597,Ten High,12,"1,000",4.94,7.41,48,355.68,48.00,12.68
S10304800007,01/29/2013,4462,SHELTON'S,"113, 1ST ST NW",BUFFALO CENTER,50424,POINT (-93.947595 43.386755),95,Winnebago,1022100,TEQUILA,434,Luxco-St Louis,89386,Juarez Tequila Gold,12,750,6.29,9.43,4,37.72,3.00,0.79
S21545500011,10/02/2014,4604,Pit Stop Liquors / Newton,"1324, 1st AVE E",NEWTON,50208,POINT (-93.035654 41.699173),50,Jasper,1031080,VODKA 80 PROOF,297,Laird And Company,35918,Five O'clock Vodka,6,"1,750",7.20,10.80,6,64.80,10.50,2.77
S08794700073,11/06/2012,2614,Hy-Vee #3 Food and Drugstore,1823 E KIMBERLY RD,DAVENPORT,52807,POINT (-90.548919 41.55678100000001),82,Scott,1081400,TRIPLE SEC,434,Luxco-St Louis,86250,Juarez Triple Sec,12,750,2.50,3.75,12,45.00,9.00,2.38
S08066600294,10/02/2012,2614,Hy-Vee #3 Food and Drugstore,1823 E KIMBERLY RD,DAVENPORT,52807,POINT (-90.548919 41.55678100000001),82,Scott,1062200,PUERTO RICO & VIRGIN ISLANDS RUM,434,Luxco-St Louis,45274,Paramount White Rum,24,375,2.84,4.25,2,8.50,0.75,0.20
S23212100074,12/27/2014,2327,West Side Spirits,801 HULL ST,CORNING,50841,POINT (-94.74369200000001 40.990378),02,Adams,1031080,VODKA 80 PROOF,260,Diageo Americas,37991,Smirnoff Vodka 80 Prf Mini,12,500,7.47,11.21,1,11.21,0.50,0.13
S14738200002,09/24/2013,2651,Hy-Vee / Waverly,1311 4 STREET SW,WAVERLY,50677,POINT (-92.475403 42.712263),09,Bremer,1011200,STRAIGHT BOURBON WHISKIES,65,Jim Beam Brands,27392,Jim Beam Maple,12,750,11.03,16.55,24,397.20,18.00,4.76
S07635800030,09/10/2012,2578,Hy-Vee / Charles City,901 KELLY ST,CHARLES CITY,50616,POINT (-92.67556000000002 43.066993),34,Floyd,1062200,PUERTO RICO & VIRGIN ISLANDS RUM,434,Luxco-St Louis,45276,Paramount White Rum,12,750,3.85,5.77,12,69.24,9.00,2.38
S28073200023,09/23/2015,2551,Hy-Vee Food Store / Chariton,2001 WEST COURT,CHARITON,50049,,59,Lucas,1011100,BLENDED WHISKIES,492,Western Spirits Beverage Co. LLC,27474,Bird Dog Blackberry Whiskey,6,750,10.00,15.00,6,90.00,4.50,1.19
S23521700086,01/15/2015,2635,Hy-Vee #4 / Davenport,4064 E 53RD ST,DAVENPORT,52807,POINT (-90.513769 41.574973),82,Scott,1031080,VODKA 80 PROOF,297,Laird And Company,35918,Five O'clock Vodka,6,"1,750",7.20,10.80,6,64.80,10.50,2.77
S24281400129,03/02/2015,2506,Hy-Vee #1044 / Burlington,3140 AGENCY,BURLINGTON,52601,POINT (-91.136655 40.814666),29,Des Moines,1081600,WHISKEY LIQUEUR,260,Diageo Americas,66211,Piehole Pecan Pie Mini,12,500,4.90,7.35,1,7.35,0.50,0.13
S25772300035,05/20/2015,2566,Hy-Vee Food Store / Knoxville,813 N LINCOLN STE 1,KNOXVILLE,50138,,63,Marion,1062310,SPICED RUM,260,Diageo Americas,43337,Captain Morgan Spiced Rum,12,"1,000",11.75,17.63,12,211.56,12.00,3.17
S13259800018,07/09/2013,4266,Wal-Mart 1683 / Shenandoah,705 S FREMONT,SHENANDOAH,51601,POINT (-95.385114 40.760282),73,Page,1071100,AMERICAN COCKTAILS,55,Sazerac North America,57148,Chi-Chi's Margarita W/tequila,6,"1,750",5.99,9.24,6,55.44,10.50,2.77
S05814400028,05/31/2012,4251,Aj's Liquor / Ames,4518 MORTENSON RD STE 109,AMES,50014,,85,Story,1011200,STRAIGHT BOURBON WHISKIES,461,Campari(skyy),22121,Wild Turkey 81,12,750,8.91,14.33,2,28.66,1.50,0.40
S03395800055,01/03/2012,2616,Hy-Vee Food and Drug / Clinton,901 SOUTH 4TH ST,CLINTON,52732,POINT (-90.193204 41.836268000000004),23,Clinton,1071100,AMERICAN COCKTAILS,421,"Sazerac Co., Inc.",59231,Ice Box Mudslide,6,"1,750",7.01,10.52,6,63.12,10.50,2.77
S05147300026,04/19/2012,3868,Wal-Mart 3630 / Marion,5491 BUSINESS HWY 151,MARION,52302,,57,Linn,1041100,AMERICAN DRY GINS,434,Luxco-St Louis,30526,Hawkeye Gin,12,750,3.33,5.00,4,20.00,3.00,0.79
S18842500010,05/07/2014,4432,Kum & Go #201 Coralville,822 1ST AVE,CORALVILLE,52241,POINT (-91.565766 41.681286),52,Johnson,1012300,IRISH WHISKIES,370,Pernod Ricard USA/Austin Nichols,15626,Jameson,12,750,14.49,21.74,12,260.88,9.00,2.38
